Location,Lat,Long
Alabama River at Henry Lock and Dam,32.32222222,-86.78388889
Alabama River at Montgomery,32.392236,-86.315406
Alabama River at Selma,32.40555556,-87.01861111
Alabama River near CHOCTAW BLUFF,31.36361111,-87.765
Alabama River near Claiborne Dam,31.61333333,-87.55055556
Alabama River near Miller's Ferry,32.10014534,-87.39777302
Aldridge Creek (AL) at Sherwood Drive in Huntsville,34.66416667,-86.55416667
Aldridge Creek (AL) at Sherwood Drive in Huntsville,34.66416667,-86.55416667
Aldridge Creek (AL) at Toney Drive in Huntsville,34.69805556,-86.55055556
Aldridge Creek (AL) at Toney Drive in Huntsville,34.69805556,-86.55055556
Aldridge Creek (AL) near Farley,34.62388889,-86.54111111
Aldridge Creek (AL) near Farley,34.62388889,-86.54111111
Bassett Creek near Thomasville,31.86404249,-87.7472247
Bayou Sara at Saraland,30.824999,-88.0699
Bear Creek (AL) near Red Bay,34.44388889,-88.11555556
Bear Creek (AL) near Red Bay,34.44388889,-88.11555556
Big Canoe Creek at hwy 231 Ashville,33.839722,-86.262778
Big Creek (Al) near Seven Hills,30.6391,-88.393
Big Creek (Al) near Wilmer,30.85583333,-88.33388889
Big Creek above Elba at SR-87,31.48888889,-86.05305556
Big Escambia Creek at Flomaton,31.0105,-87.26265
Big Nance Creek (AL) at Courtland,34.67,-87.31722222
Big Nance Creek (AL) at Courtland,34.67,-87.31722222
Big Wills Creek,34.09805556,-86.03805556
Big Wills Creek (AL) near Fort Payne,34.43805556,-85.76722222
Big Wills Creek (AL) near Fort Payne,34.43805556,-85.76722222
Black Warrior River at Bankhead Lock and Dam,33.45694444,-87.355
Black Warrior River at Cordova,33.7575,-87.17027778
Black Warrior River at Holt Lock and Dam,33.25277778,-87.45138889
Black Warrior River at Oliver Lock and Dam,33.20916667,-87.59638889
Black Warrior River at Smith Dam,33.94222222,-87.10777778
Black Warrior River below Selden Dam,32.77722222,-87.84138889
Blackwater Creek (AL) near Manchester,33.90833333,-87.25694444
Blackwater River near Bradley,31.02767985,-86.7099567
Blue Springs Creek near Blountsville,34.07972222,-86.60777778
Burnt Corn Creek at Hwy 41 near Brewton 1NW,31.12972222,-87.08722222
Buttahatchee River Below Hamilton,34.10621294,-87.9894765
Cahaba River at Centreville,32.945,-87.13916667
Cahaba River at Marion Junction,32.44388889,-87.18027778
Cahaba River at Suttle,32.52916667,-87.19888889
Cahaba River at Trusville,33.62222222,-86.59944444
Cahaba River near Cahaba Heights,33.41555556,-86.73972222
Cahaba River near Helena,33.28444444,-86.88277778
Cahaba River near West Blocton,33.0963,-87.0552
Cahaba Valley Creek at Pelham,33.31333333,-86.80638889
Cahaba Valley Creek Indian Springs at Indian Trail Road,33.3448,-86.7594
Catoma Creek near Montgomery,32.30722222,-86.29944444
Chattahoochee River at Fort Gaines,31.6214,-85.06
Chattooga River above Gaylesville,34.29027778,-85.50916667
Chewacla Creek at Chewalcla State Park Near Auburn,32.548056,-85.480556
Chickasaw Creek near Kushla,30.80277778,-88.14333333
Choctawhatchee River at Geneva (SR 52),31.04111111,-85.85222222
Choctawhatchee River near Bellwood (CR 45),31.15916667,-85.78444444
Choctawhatchee River near Daleville,31.27527778,-85.67805556
Choctawhatchee River near Newton (SR 134),31.34277778,-85.61055556
Choctawhatchee River near Texasville (SR 131),31.75,-85.35833333
Claybank Creek near Daleville (SR 84),31.30555556,-85.74388889
Clear Creek,34.08111111,-87.42277778
Conecuh River at Brewton,31.06694444,-87.06166667
Conecuh River at River Falls,31.34805556,-86.52944444
Conecuh River near Brantley,31.5734,-86.2516
Coosa River at Childersburg,33.29166667,-86.36388889
Coosa River at Gadsden,34.01422287,-85.97125047
Coosa River at Jordan Dam,32.61888889,-86.255
